,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
January,13,27,33,0,19,720,0,0,59,98,96,126,98
February,33,0,57,66,18,0,18,0,20,74,0,133,82
March,30,56,0,23,84,22,60,67,77,83,42,31,264
April,0,93,128,0,104,141,0,33,31,292,172,117,106
May,196,0,32,57,25,0,107,0,98,70,144,17,415
June,68,0,0,38,72,50,124,47,454,75,176,60,98
July,43,20,33,62,0,574,49,244,58,120,121,43,139
August,180,0,53,103,30,2121,48,39,0,74,188,165,128
September,0,0,0,0,0,0,30,9,810,66,121,169,82
October,20,14,100,18,69,0,366,19,62,53,105,87,0
November,0,12,71,44,0,0,624,0,50,122,171,139,0
December,13,0,18,0,129,0,18,35,15,99,66,62,0
