Month,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
January,11,2,5,2,4,4,0,2,1,1,5,1,2,1,3,5,5,5,4
Febuary,11,3,1,3,1,6,0,2,1,0,2,3,3,4,2,5,5,4,4
March,8,2,1,7,5,2,1,3,1,1,0,1,4,2,8,4,9,2,1
April,2,5,1,4,2,1,0,1,0,2,1,3,3,1,4,2,5,9,3
May,0,0,1,4,4,4,1,1,3,2,3,2,6,2,1,5,5,4,1
June,2,0,1,1,5,0,0,5,2,2,2,3,1,3,4,4,2,7,0
July,6,3,0,1,1,1,2,2,4,6,2,3,4,3,6,7,8,10,0
August,4,4,1,8,2,1,4,4,2,0,2,6,2,3,6,6,7,7,1
September,5,3,3,1,0,3,2,0,2,0,4,1,0,3,3,5,5,9,2
October,3,1,4,2,3,4,4,2,1,4,2,5,0,6,4,6,6,10,0
November,0,4,3,4,1,1,3,1,1,3,2,0,4,4,5,1,2,8,1
December,0,1,1,5,5,0,0,2,2,0,0,1,1,2,4,5,4,6,0
