Month,Station,Entry,Exit
January,North Avenue,"2,171,030","1,251,125"
February,North Avenue,"1,974,639","1,173,156"
March,North Avenue,"2,171,175","1,273,263"
April,North Avenue,"1,718,961","1,014,983"
May,North Avenue,"2,063,065","1,203,944"
June,North Avenue,"1,879,943","1,121,954"
July,North Avenue,"2,020,455","1,213,438"
August,North Avenue,"2,082,851","1,237,564"
September,North Avenue,"1,988,894","1,205,595"
October,North Avenue,"2,073,588","1,242,960"
November,North Avenue,"1,788,670","1,080,852"
December,North Avenue,"1,844,986","1,119,271"
January,Quezon Avenue,"975,489","864,427"
February,Quezon Avenue,"900,077","827,374"
March,Quezon Avenue,"1,004,008","914,923"
April,Quezon Avenue,"769,945","697,407"
May,Quezon Avenue,"925,970","838,516"
June,Quezon Avenue,"847,685","765,379"
July,Quezon Avenue,"922,053","827,140"
August,Quezon Avenue,"959,203","862,197"
September,Quezon Avenue,"916,342","827,260"
October,Quezon Avenue,"951,274","843,104"
November,Quezon Avenue,"816,908","712,596"
December,Quezon Avenue,"847,932","692,902"
January,GMA Kamuning,"471,289","327,637"
February,GMA Kamuning,"437,019","315,384"
March,GMA Kamuning,"481,541","347,035"
April,GMA Kamuning,"363,500","263,704"
May,GMA Kamuning,"440,815","315,525"
June,GMA Kamuning,"425,070","292,485"
July,GMA Kamuning,"462,581","319,648"
August,GMA Kamuning,"474,056","327,748"
September,GMA Kamuning,"447,084","317,216"
October,GMA Kamuning,"455,418","321,327"
November,GMA Kamuning,"388,583","262,769"
December,GMA Kamuning,"429,700","295,981"
January,Cubao,"1,224,631","219,592"
February,Cubao,"1,142,017","210,955"
March,Cubao,"1,258,245","229,293"
April,Cubao,"997,976","176,420"
May,Cubao,"1,147,759","216,928"
June,Cubao,"1,079,425","203,305"
July,Cubao,"1,153,977","215,359"
August,Cubao,"1,155,315","220,320"
September,Cubao,"1,125,571","210,056"
October,Cubao,"1,160,663","214,150"
November,Cubao,"987,162","184,380"
December,Cubao,"1,020,044","187,647"
January,Santolan,"219,592","446,615"
February,Santolan,"210,955","432,042"
March,Santolan,"229,293","469,054"
April,Santolan,"176,420","364,921"
May,Santolan,"216,928","439,003"
June,Santolan,"203,305","406,474"
July,Santolan,"215,359","426,809"
August,Santolan,"220,320","443,865"
September,Santolan,"210,056","436,966"
October,Santolan,"214,150","448,536"
November,Santolan,"184,380","385,087"
December,Santolan,"187,647","373,543"
January,Ortigas,"446,615","872,086"
February,Ortigas,"432,042","808,133"
March,Ortigas,"469,054","887,135"
April,Ortigas,"364,921","680,823"
May,Ortigas,"439,003","794,981"
June,Ortigas,"406,474","739,815"
July,Ortigas,"426,809","809,199"
August,Ortigas,"443,865","838,466"
September,Ortigas,"436,966","809,303"
October,Ortigas,"448,536","850,978"
November,Ortigas,"385,087","711,355"
December,Ortigas,"373,543","734,955"
January,Shaw,"1,033,346","1,380,261"
February,Shaw,"991,503","1,308,572"
March,Shaw,"1,104,282","1,452,911"
April,Shaw,"861,192","1,151,976"
May,Shaw,"1,021,081","1,340,933"
June,Shaw,"939,183","1,250,997"
July,Shaw,"1,005,196","1,357,825"
August,Shaw,"1,029,386","1,383,344"
September,Shaw,"1,008,283","1,334,064"
October,Shaw,"1,042,983","1,397,846"
November,Shaw,"909,004","1,201,460"
December,Shaw,"917,707","1,207,848"
January,Boni,"600,649","748,730"
February,Boni,"578,750","713,927"
March,Boni,"641,853","793,650"
April,Boni,"502,471","599,509"
May,Boni,"605,233","723,979"
June,Boni,"562,069","682,251"
July,Boni,"604,850","739,948"
August,Boni,"624,172","756,847"
September,Boni,"604,369","729,910"
October,Boni,"616,000","749,255"
November,Boni,"525,093","622,914"
December,Boni,"582,416","604,397"
January,Guadalupe,"916,922","959,693"
February,Guadalupe,"866,015","900,575"
March,Guadalupe,"960,461","989,043"
April,Guadalupe,"748,337","757,828"
May,Guadalupe,"877,232","917,231"
June,Guadalupe,"825,805","862,167"
July,Guadalupe,"898,564","935,659"
August,Guadalupe,"917,714","953,411"
September,Guadalupe,"890,440","924,685"
October,Guadalupe,"904,841","939,254"
November,Guadalupe,"781,560","807,068"
December,Guadalupe,"796,758","807,937"
January,Buendia,"350,896","444,903"
February,Buendia,"350,390","425,832"
March,Buendia,"394,268","481,744"
April,Buendia,"296,580","360,377"
May,Buendia,"344,315","438,865"
June,Buendia,"320,314","401,452"
July,Buendia,"351,798","429,722"
August,Buendia,"361,421","448,217"
September,Buendia,"346,007","422,055"
October,Buendia,"347,638","428,218"
November,Buendia,"273,600","353,066"
December,Buendia,"255,558","342,450"
January,Ayala Avenue,"1,010,674","1,132,908"
February,Ayala Avenue,"988,623","1,074,076"
March,Ayala Avenue,"1,082,143","1,194,361"
April,Ayala Avenue,"831,454","926,880"
May,Ayala Avenue,"983,256","1,118,778"
June,Ayala Avenue,"911,244","1,033,620"
July,Ayala Avenue,"990,835","1,104,049"
August,Ayala Avenue,"1,009,946","1,141,040"
September,Ayala Avenue,"990,150","1,090,714"
October,Ayala Avenue,"1,016,657","1,133,685"
November,Ayala Avenue,"827,498","1,003,168"
December,Ayala Avenue,"799,231","1,016,695"
January,Magallanes,"848,637","543,893"
February,Magallanes,"820,680","508,533"
March,Magallanes,"895,388","566,365"
April,Magallanes,"692,055","431,739"
May,Magallanes,"834,754","532,293"
June,Magallanes,"786,503","495,443"
July,Magallanes,"843,912","528,114"
August,Magallanes,"879,039","547,659"
September,Magallanes,"846,570","524,436"
October,Magallanes,"878,180","541,133"
November,Magallanes,"744,057","470,219"
December,Magallanes,"740,723","465,339"
January,Taft,"2,173,102","1,865,482"
February,Taft,"2,049,699","1,759,064"
March,Taft,"2,266,091","1,954,747"
April,Taft,"1,764,355","1,547,999"
May,Taft,"2,153,048","1,868,978"
June,Taft,"1,965,091","1,678,840"
July,Taft,"2,116,113","1,793,203"
August,Taft,"2,155,426","1,826,715"
September,Taft,"2,107,267","1,787,063"
October,Taft,"2,167,650","1,836,784"
November,Taft,"1,900,635","1,601,287"
December,Taft,"1,980,061","1,700,047"
